,맛_음식,상품명
404,"귀감, 350ml, 25% 은은한 감귤 향이 매력적인 과실 증류주다. 알코올 맛보다는 입 속에서 느껴지는 가벼운 시트러스한 향이 좋다. 단맛도 뭉근히 돌며, 매끄러운 끝 맛을 자랑한다. 다만, 증류주 초보자 등은 바로 마시기보다는 온더록스 및 탄산수 등으로 즐기는 것이 좋다.",귀감
405,"도구 막걸리, 750ml, 6% 술의 느낌이 매우 가볍다. 쌀과 함께 들어간 밀가루가 쌀의 가벼움을 보완해주고 술을 마시고 난 후에 입 안을 꽉 채워주기 때문에 첫 맛은 가벼우나 뒷 맛은 묵직한 것이 특징이다. 적절한 단맛과 산미를 가지고 있어 양념이 많이 된 생선 조림과 잘 어울리다.",도구 막걸
406,"병영설성사또, 700ml, 40% 병영소주가 보리로 내린 증류주라면 병영설성사또는 100% 쌀을 이용한 증류주에 오디와 복분자를 침출한 증류주이다. 병영설성사또는 맑고 투명한 증류주에 오디와 복분자를 침출해 담황색을 띄며 향과 향미가 매력적인 증류주이다. 진한 국물이 있는 전골류와 아주 잘 어울린다.",병영설성사또
407,"술헤는밤, 750ml, 8% 농업회사법인 두루에서 생산하는 두루삼선과 같은 형태의 맛과 향을 가지고 있으나 입 안의 느낌에 차이가 난다. 두루삼선이 알코올 도수(10%)는 높지만 매우 가볍고 깔끔한 반면에 술헤는 밤은 좀 더 무겁고 술을 마시고 난 후의 잔향이 오래 남는 것이 특징이다. 적절한 산미가 홍천에서 나오는 산나물 무침과 아주 잘 맞는다.",술헤는밤
408,"남산애 포트와인, 750ml, 14% 진한 포도의 맛과 향이 그대로 농축돼 있는 와인이다. 조금은 탁하지만 포도의 원액을 그대로 느낄 수 있는 색을 가지고 있으며, 시트러스 계열의 상큼한 산미가 뒤따라 온다. 단맛은 적지만, 목 넘김에서 올라오는 포도향이 기분을 좋게 한다. 긴 후미는 아니지만, 경쾌하고 자연스러운 한국와인 특유의 신선함이 살아있다. 시트러스 계열의 상큼 맛이 좋은 만큼 입맛을 돋우는 식전주로 추천한다.",남산애 포트와인
409,"삼선, 500ml, 10% 연한 아이보리 색을 가진 생막걸리로 멥쌀을 이용해 단맛과 걸쭉함 없이 아주 깔끔하게 마실 수 있는 술이다. 고소한 곡물의 향이 좋고 입 안 가득 산뜻한 산미가 채워준다. 술이 가벼워 목 넘김이 깔끔하고 입 안에서 빨리 사라진다. 녹두전과 잘 맞는 궁합이다.",삼선
410,"정고집 나주배 약주 15%, 500ml, 15% 당도 높은 배 맛이 그대로 생각나는 맛. 과육 없는 배과즙을 먹는 듯 한 느낌도 있지만, 끝에서 느껴지는 약주 특유의 쌀 향도 느껴진다. 담백한 맛의 한우 수육과 즐긴다면, 소고기와 배과즙라는 멋진 궁합을 느낄 수 있다.",정고집 나주배 약주 15%
411,"가을빛 레드와인, 750ml, 14% 맑은 빛의 포도 색이 매력적인 와인. 기분 좋은 캠벨포도의 향이 풍부하게 올라온다. 단맛은 적은 듯하지만, 향에서 느껴지는 맑은 단맛이 매력적으로 다가온다. 산미는 적지도, 많지도 않은 모습이 밸런스가 좋다라는 평할 수 있을 듯하다. 다만 탄닌감은 적은 만큼 스테이크 등의 고기류보다는 나물, 잡채 등과 같은 자극성 적은 한식요리에 추천하고 싶다.",가을빛 레드와인
412,"오가피와인, 500ml, 12% 진한 흑진주의 색을 가진 보기 드문 오가피 열매를 이용한 술이다. 오가피의 색과 향, 맛을 아주 잘 살린 술로 오미의 조화가 잘 갖춰진 술이다. 술을 마시고 난 후에 약간의 산미와 쓴맛이 음식과의 조화를 잘 만들 수 있도록 해준다. 복날 삼계탕 등 보신 음식과 함께하기 좋은 술이다.",오가피와인
413,"여강, 500ml, 10% 증류식 소주 특유의 투명한 색이다. 잘 구워진 곡물의 향이 있으며, 혀끝에서 목넘김으로 이어지는 과정이 거리낌없이 부드럽게 넘어간다. 잔잔한 향이 여운으로 계속 남는데 오히려 더욱 매력적으로 느껴진다. 갈비찜과 같은 진한 음식과 잘 어울린다.",여강
414,"샤토미소 랑, 375ml, 12% 금빛의 영롱한 빛깔에 기분 좋은 청포도 향이 확 코끝에 와 닿는 느낌이다. 하지만 막상 맛을 보면 샤프한 청포도 향은 사라지고 부드러운 촉감이 목 넘김으로 이어진다. 시트러스한 식감이 워낙 좋아 조개찜 등 다양한 해산물과 잘 어울리는 스타일이다.",샤토미소 랑
415,"햇찹쌀이 하늘수, 500ml, 6% 옅은 아이보리 컬러를 가진 막걸리다. 하늘거리는 누룩향과 살포시 느껴지는 사과향이 있다. 자연 탄산이 주는 청량감이 매력 있으며, 단맛과 신맛, 그리고 목넘김을 하나하나 다 맛볼 수 있다. 500ml의 작은 용량으로 핸드캐리 하기에 좋은 막걸리이다.운동 후, 등산 후에 마시면 좋은 스타일이다. 청량감이 좋은 만큼 매콤한 요리도 잘 어울리는데, 기회가 된다면 꼬막무침, 닭볶음탕 등 다소 매운 요리가 잘 어울릴 것이다. 또한 장흥의 특산물인 키조개무침, 키조개전/ 장흥 한우 삼합구이 등과 같이 마시는 것도 권해 드린다.",햇찹쌀이 하늘수
416,"병영설성 동동주, 1700ml, 6% 일반적인 막걸리에 비해 텁텁하지 않고 청량하고 깔끔한 맛이 이채로운 제품이다. 단맛과 신맛의 밸런스가 좋고 발효가 채 완료되지 않아 생긴 탄산이 청량감을 주고 전체적으로 가볍다. 막걸리 보다는 맑은 빛이 돌고 동동주의 특징인 쌀알이 동동 떠 있다. 묵은 김치 볶음, 담치국, 두부김치와 잘 어울린다.",병영설성 동동주
417,"시나브로 에뚜왈 로제 스파클링인, 750ml, 5% 연 붉은색을 가진 로제 스파클링 와인이다. 화려한 향은 아니지만 살짝 마른나무 향이 느껴진다. 부드러운 기포와 함께 올라오는 맛은 달콤한 맛으로 시작하지만 신맛과 잘 발효된 누룩향도 느껴진다. 전체적으로 식전 주 또는 식후 주가 맞는 와인으로 스위트한 맛이 주축을 이룬 만큼 샐러드와 같은 가벼운 요리가 어울릴 것이다.",시나브로 에뚜왈 로제 스파클링
418,"두리향, 500ml, 43% 전형적인 증류식 소주의 투명색. 구수한 누룽지 향이 느껴지는 좋은 곡물의 향이다. 알코올 도수가 높아 거부감이 있을 수 있지만, 끝에서 느껴지는 기분 좋은 단맛이 있으며, 목 넘김 역시 매끈하며 부드러운 좋은 맛이다. 알코올 도수가 43%나 되는 만큼, 얼음이나 소다와 같이 즐겨도 좋을 듯하며, 육전 및 갈비찜 등 진한 요리와도 잘 어울리는 맛이다.",두리향
419,"선운산 복분자주 프리미엄, 700ml, 19% 18개월에 걸친 장기발효숙성으로 일반 복분자주에 비해 부드러움이 느껴진다. 자극이 적은 새콤한 맛에 매끈한 단맛이 숙성이 주는 매력을 느낄 수 있다. 담백한 한우 수육을 곁들인다면 더욱 그 차이를 알 수 있을 것이다.",선운산 복분자주 프리미엄
420,"연천 우주, 360ml, 22% 무색투명한 색으로 시작한 이 소주의 매력은 향에서 만날 수 있다. 잘 구워진 가래떡과 같은 고소함이 있기 때문. 묵직한 알콜올 맛에서 시작했다가 이내 입속을 가득 채우는 쌀 발효향을 느낄 수 있다.알코올 함유량 22%로 다른 증류식 소주에 비해 다소 낮은 편이지만, 향 하나하나가 무척 잘 살려져 있어 얼음, 탄산수 등과 함께 즐기기 충분하다. 얼음이나 탄산수 없이 단독으로 즐긴다면 육포 및 견과류를 추천하며, 고기류라고 한다면 담백한 한우 등심구이 등이 잘 어울릴 것이다.",연천 우주
421,"맑은술 해밀, 500ml, 15% 가벼운 멜론향으로 시작하는 색 다른 느낌이 있는 술이다. 미끈한 목 넘김에 진하지 않은 신맛과 잔잔한 여운으로 마무리되는 달콤한 맛이 특징이다. 약주 주종이 보통 단맛이 도는데 함께하는 음식은 생선요리 등과 같이 담백한 맛에 잘 어울린다.",맑은술 해밀
422,"포엠 레드 드라이와인, 750ml, 12% 은은한 루비 색을 가진 와인. 산미와 진한 산머루 향을 담은 기분 좋은 흙향이 올라온다. 입안에 머금으면 미세한 단맛이 입속을 적셔주면서 묵직한 타닌감이 입안을 감싸주며 상큼한 신맛이 식욕을 돋워주며 마무리된다. 식전 주와 디저트 용보다는 식중주로 식사와 함께 즐길 수 있다. 기존의 레드와인이 가진 육류와 잘 어울리는 정체성을 가지고 있어서 스테이크, 한우 등심구이, 생선요리로는 메로구이, 삼치구이와도 잘 어울리는 맛이다.",포엠 레드 드라이와인
423,"담양 죽력고, 350ml, 25% 죽력을 이용한 증류주로 식물을 찐 향과 계피향이 묵직하게 올라온다. 입 안에서는 둥글둥글하게 자극적이지 않고 목넘김 또한 부드럽다. 술을 마시고 난 후, 입 안에 느껴지는 죽력과 석창포의 느낌이 그대로 전해지는 듯 하다. 10~15도 사이에서 마시는 것이 좋다. 약재를 넣어 푹 익힌 오리백숙과 잘 어울린다.",담양 죽력고
424,"감자술 13%, 700ml, 13% 살짝 갈아놓은 감자에서 느낄 수 있는 식감이 있다. 맑은 연두빛의 개성 있는 색깔에 담백한 단맛이 느껴진다. 너무 맵고 짠 음식은 자칫 감자술의 은은한 맛이 가려질 수 있기 때문에 자극적이지 않은 안주를 추천합니다. 기름진 감자전하고 즐기면 딱 좋은 맛이다.",감자술 13%
425,"유기농 이도14, 750ml, 14% 가을 잘 익은 벼가 풍만한 황금들녘을 보는듯하다. 유기농 햅쌀에서 나온 단맛과 밀누룩에서 나온 독특한 쓴맛, 그리고 산미가 잘 갖춰져 있다. 누룩향은 절제되어 있어 젊은고객에게도 와인처럼 가볍게 즐길 수 있는 술이다. 연어회와 함께 마신다면 연어의 비릿한 맛과 기름진 느낌을 상쇄시켜 고소한 여운을 길게 남겨 줄 것 같다. 해산물 종류와 갈 어울리는 술이다.",유기농 이도14
426,"풍남문, 1000ml, 5% 가볍고 경쾌한 곡물 향이 거침없이 올라온다. 천연 탄산으로 인한 청량감이 좋으며, 매끈하게 마무리되는 뒷맛이 깔끔하다는 느낌을 그대로 가지고 있다. 생맥주 대신 즐길 수 있는 다양한 기름진 요리와 충분히 잘 어울린다.",풍남문
427,"독산 53, 250ml, 53% 곡물로 빚은 술을 증류한 전통 증류주로 진한 소주의 맛을 원한다면 독산53을 마셔봐야 한다. 향은 강하지 않지만 입 안에서의 느낌이 매우 강하다. 술을 마시고 난 후에 아주 긴 여운이 남는 술이다. 여성보다는 소주를 좋아하는 남성분들에게 추천하고 싶은 술이다. 차게해서 마시는 것이 좋다. 양념 되지 갈비와 잘 어울린다.",독산 53
428,"젤코바 스페셜와인, 375ml / 500ml / 750ml, 11.5% 산머루 특유의 진한 자줏빛의 색을 가진 와인이다. 향에서는 숙성을 통해 만들어진 산미가 지긋이 올라오며, 마무리는 상큼한 단향이 올라온다. 입안에 머금어도 산미부터 올라오며 이내 단맛이 입안을 메워준다. 머루 특유의 드라이함이 남아있으며, 덕분에 유럽 와인에서 보는 타닌감도 살아있다. 식중주로 충분히 즐길 수 있으며, 진한 맛이 좋은 만큼 다소 양념이 된 고기류와도 좋다. 불고기, 양념갈비 등을 추천해 본다.",젤코바 스페셜와인
429,"천등산 차례주, 700ml, 11% 깨끗한 담황색인 청주다. 코끝에서 은은히 느껴지는 쌀 향이 있다. 입안에 머금은 순간 가벼운 담백함이 먼저 시작되며, 이내 쌀 특유의 부드러운 단맛과 가벼운 산미로 마무리된다. 역시 모난 곳 없는 밸런스가 좋은 술이라고 할 수 있다. 같은 회사에서 나온 1957에 비하면 좀 더 가볍고 경쾌한 느낌을 받는다.역시 식중주로 좋은 역할을 하는 술이며, 다채로운 한식과 잘 어울리는 스타일이다. 세심한 매칭보다는 부담 없이 어울리는 스타일로 한정식 등과 함께 즐기면 이 술을 충분히 즐길 수 있다. 차례주로 쓰인다면 가족들끼리 음복을 해도 충분히 즐길 수 있는 대중적인 맛이다.",천등산 차례주
430,"느낌 19.8, 360ml, 19.8% 증류주는 기본적으로 도수가 낮으면 밍밍하고 물 맛이 많이 나는 것이 단점인데, 안동소주 느낌 19.8%는 일반 증류식소주에 비해 알코올도수가 낮은데도 불구하고 전통소주에서 느껴지는 곡향이 입 안을 가득 채워주는 것이 가장 큰 특징이다. 아주 차게 마시기보다는 실온에 좀 두고 곡향이 올라올 때 시음하는 것을 권장한다. 양념이 된 고기류와 잘 어울린다.",느낌 19.8
431,"라이스퐁당 13, 500ml, 13% 옅은 호박색을 가진 술로 삼지구엽초와 감초가 들어가 약재를 푹 삶았을때의 풀 향이 매우 특징적인 술이다. 멥쌀이 아닌 찹쌀만 이용해 술을 빚어 맛있는 단맛이 매력적이고 뒤에 잘 익은 과일의 산뜻한 산미가 입 안을 개운하게 해준다. 힘든 하루를 보내고 나서 약재를 넣고 푹 달인 삼계탕과 함께하면 보약이 따로 없을 듯 하다.",라이스퐁당 13
432,"연천 연주, 500ml, 12% 기분 좋은 황갈색을 띤 무감미료 수제 약주. 은은한 누룩향이 먼저 피어오르는 첫인상을 가지고 있다. 입에 머금으면 기분 좋은 산미와 단맛이 조화를 이루며 침샘을 자극한다. 마무리는 부드러운 누룽지향. 산미가 도드라진 만큼 강한 맛보다는 담백한 음식이 잘 어울릴 것으로 보인다. 삼겹살, 양념갈비보다는 수육 및 육회 등이 좋을 듯하며, 김치전보다는 해물전이 더 잘 어울릴 듯하다.",연천 연주
433,"신선주 약주 500ml, 16% 황금색의 맑은 빛깔, 첫 산미가 입안에 깔끔하게 퍼진 뒤, 순수한 재료들의 향이 입안에서 달달하게 남아 돈다.",신선주 약주
434,"당당하리 375ml, 15% 마늘과 복분자를 술에 그대로 녹여 과실주 특유의 부드러움이 극대화되었다. 은은한 붉은빛의 당당하리는 특유의 끝 맛없는 깔끔함으로 육회와 회, 장어구이, 치즈, 두부, 과일 및 간단한 안주류와 잘 어울린다.",당당하
435,"계룡백일주, 700ml, 16% 국화, 오미자, 솔잎 등을 넣어 술빛이 진한 담황색을 갖고 있다. 다양한 재료가 들어간만큼 복잡한 향이 올라오고 단맛과 신맛이 적고 전체적으로 연한 쓴맛이 술을 이끌어 나간다. 약재가 많이 들어갔지만 술은 가볍고 연한 쓴맛이 음식과의 궁합을 잘 맞출 수 있는 술이다. 명란젓과 잘 어울린다.",계룡백일주 16도
436,"컨츄리 산머루 와인 (드라이) 750ml , 14% 붉은 흑진주 색에 농익은 검붉은 과실향이 함께 올라오고 단맛은 적지만 산미가 있어 입 안이 매우 산뜻하고 아주 옅은 타닌이 입 안을 자극시킨다. 여운이 길다. 오리구이와 잘 어울린다.",컨츄리 산머루 와인 (드라이)
437,"홍삼 인삼주 750ml, 38% 일반 대중적인 소주의 맛이 나며 여기에 인삼의 맛과 색이 어울어진 증류주다. 바디감과 목넘김이 가볍지만 도수가 높아 특히 찌개종류와 다 잘 어울린다.",홍삼 인삼주
438,"톡 쏘는 복분자 막걸리 750ml, 6% 쌀막걸리의 가벼움에 복분자 원액이 혼합된 막걸리다. 과실 막걸리에 맞게 단맛이 매우 강하고 산미가 적으며 청량감이 강하다. 생일 등 축제 때 디저트 술로 알맞다.",톡 쏘는 복분자 막걸
439,"허니비 와인, 500ml, 8% 물처럼 연한 황금색을 가지고 있으며 달콤한 꿀 향기가 술을 빨리 먹어보도록 만든다. 단맛이 너무 강하지 않게 올라와 입 안을 채워주고 아주 부드럽게 술을 즐길 수 있게 해준다. 꿀의 잔맛이 술을 다 마시고도 끝까지 남아 술이 너무 가볍게 되는 것을 막아 준다. 맛있게 즐길 수 있는 술이다.",허니비 와인
440,"샤토미소 스위트 750ml, 12% 산미가 적고 단맛이 강해 입 안에 풍부한 향을 채운다. 혀에 남은 타닌에 의한 떫은 맛이 인상적이며 목넘김이 부드럽다. 특별한 날 케익과 함께하면 좋다.",샤토미소 스위트
441,"미소아이스 375ml , 12% 검붉은 색에 포도껍질향이 강하게 올라온다. 산미가 없고 단맛이 강하며 묵직한 바디감을 가지고 있다. 목넘김도 매우 부드럽다. 술이 곧 안주다.",미소 아이스
442,"컨츄리 산머루 와인 (스위트) 750ml , 12% 진한 검붉은 빛의 색에 훈연된 향과 가죽향, 잘 익은 베리향 등이 풍만하게 올라온다. 단맛과 신맛의 균형이 갖춰져 있으며 바디감이 좋고 입 안에 남는 옅은 쓴맛이 좋다. 삼겹살과 잘 맞는다.",컨츄리 산머루 와인 (스위트)
443,"소곡화주 480ml, 41% 물처럼 맑고 투명하지만 상압증류기를 이용해 불에 그을린듯한 향이 강하게 올라온다. 알코올 도수에 비해 자극적이지는 않지만 술을 입에 넣으면 입술과 혀를 서서히 자극시킨다. 입 안에 탄 듯한 맛이 남는 것이 강한 남자 같은 술 같다. 전골류와 잘 어울린다.",녹천 소곡화주 480ml
444,"입장탁주, 750ml, 6% 술 빛은 아이보리 색과 같고 팽화미를 이용해 고소한 향과 발효향이 동시에 올라온다. 입에 넣으면 처음에는 신맛과 단맛이 동시에 올라오고 술을 마시고 난 후에 고소함이 혀에 남아 뒷맛을 이끌어 간다. 버섯 전골류와 잘 어울린다.",입장탁주
445,"계룡백일주, 400ml, 30% 여러 가지 가향재가 들어갔지만 술은 물처럼 맑고 달콤한 향이 아주 은은하게 올라온다. 입에 넣으면 단맛이 느껴지고 입 전체에 알코올이 퍼지는 느낌이 있다. 숙성이 잘 돼서 입술을 자극시키는 것이 없으며 입 안에 오랜 여운이 남는다. 호두말이곶감처럼 담백한 안주에 어울린다.",계룡백일주 30도
446,"홍삼명주 375ml, 14% 진하게 홍삼향이 올라오지만 맛은 가겹고 목넘김이 깔끔하다. 전체적으로 단맛은 적고 산미가 있다. 봄에 나오는 나물무침과 잘 어울린다.",홍삼명주 375ml
447,"청세주 375ml , 18% 맑은 황금색의 술로 산뜻한 과실향이 난다. 단맛이 전체적인 술 맛을 이끌고 산미는 적다. 처음부터 끝까지 연한 쓴맛이 음식을 당기게 만든다. 여운이 길다. 삼겹살이 잘 어울린다.",청세주
448,"내장산다랭이팜 생 막걸리 (백미) 750ml , 6% 탄산에 의한 청량미가 강하고 단맛은 적고 산미가 주를 이룬다. 밀 누룩을 이용해 연한 아이보리 색이 나는 것이 특징이다. 반주로 적합하다.",다랭이팜 생 막걸리 (백미)
449,"여포의 꿈 레드 (SWEET) 750ml , 12% 여름에 잘 익은 포도밭에 온 듯한 향기와 산미는 적지만 풍만한 단맛이 입에 오랜 여운을 남긴다. 바디감이 있지만 목넘김이 부드럽다. 특별한 날 케익과 잘 어울린다.",여포의 꿈 레드(SWEET)
450,"세종 오가닉 375ml, 13% 누룽지 향이 강하게 올라오고 단맛은 적고 산미가 있어 목넘김이 깔끔하고 입 안 전체에 퍼지는 느낌이 좋다. 생선찜과 잘 어울린다.",세종 오가닉
451,"자두와인 화이트, 750ml, 12% 피자두가 아닌 후무사를 사용하여 빚은 술로 연한 화이트와인의 색감에 자두의 과실향과 훈연된 향이 올라온다. 신맛과 단맛이 잘 갖춰져 있으며 전체적인 술맛은 산미가 대장 노릇을 한다. 술을 오픈하고 어느 정도 산소 접촉을 시키면 더욱 부드럽게 마실 수 있다. 산미가 있어 입에 침이 고이고 아주 깔끔하게 마실 수 있는 술이다. 피자 등과 잘 어울린다.",자두와인 화이트
452,"문희(오미자) 500ml, 700ml, 12% 은은한 꽃 향기와 과일향, 오랜 숙성에서 나오는 바닐라 향이 특징이며 크림같은 부드러운 목넘김을 가지고 있다. 산미는 적고 단맛이 전체 술 분위기를 가져온다. 회무침과 잘 어울린다.",문희 (오미자)
453,"예담은 한산소곡주, 750ml, 16% 진한 담황색의 술이다. 술의 단맛이 술이 오래 익었을 때 나오는 캐러멜 향과 잘 섞여 있다. 알코올의 자극적인 맛이 식도를 타고 식도를 흐른다. 술을 마시고 난 후에 입 안에 남는 섬세한 쓴맛이 좋다. 일상에서 먹는 반찬과 잘 어울린다.",예담은 한산소곡주
454,"민속주 안동소주, 800ml, 45% 알코올도수가 높고 부드러운 곡향이 올라온다. 술을 입에 넣으면 알코올이 입 안 전체를 채우고 혀를 오그라들게 할 정도로 자극을 준다. 술을 마시고 난 후에 쓴맛이 오랜 여운을 갖게 한다. 안동갈비와 잘 어울린다.",민속주 안동소주 800ml
455,"베베마루 캠벨로제 스위트, 375ml, 10% 진한 붉은빛을 가지고 있으며 같은 회사 ‘로제’보다 단맛이 적고 단맛과 신맛의 조화가 잘 갖춰져 있다. 적절한 산미가 입 안에 침이 고이게 하고 뒷맛이 매우 깔끔하다. 와인에 재워 놓았던 붉은 고기와 함께하면 맛있게 즐길 수 있다.",베베마루 캠벨로제 스위트
456,"은자골 곶감 생 탁배기 750ml, 6% 단맛과 신맛 그리고 바디감과 목넘김이 깃털처럼 가벼운 술이다. 양념을 많이 하지 않은 생선회 같은 음식들과 잘 어울린다.",은자골 곶감 생 탁배기
457,"추사블루, 375ml, 12% 붉은 흑진주와 같고 잘 익은 과실향이 진하게 올라온다. 입에 넣는 순간 맛있게 느껴지며 처음에는 단맛 그리고 다음에는 연한 신맛이 뒤를 받쳐준다. 처음부터 끝까지 술의 맛이 살아있으며 적절한 산미가 목넘김을 부드럽게 만들어준다. 블루베리나 사과로 만든 파이와 함께 먹으면 좋다.",추사블루
458,"다래와인 7004D, 750ml, 12% 맑은 담황색을 가지고 있으며 처음 발효향이 강하게 올라오기 때문에 시음하기 전에 산소와의 접촉을 많이 하고 시음하는 것이 좋은 술이다. 단맛이 거의 없고 산미가 술 맛 전체를 이끌어간다. 목넘김은 깔끔하고 술이 전체적으로 가볍다. 스파게티와 같은 면 요리와 잘 어울린다.",다래와인 7004D
459,"미인탁주, 500ml, 10% 우리밀누룩을 사용해 연해 아이보리 색을 가지고 있으며, 완전 발효 후에 술을 걸러 탄산에 의한 청량감은 적으나 크림처럼 매우 부드러운 곡물 맛을 가지고 있는 것이 특징이다. 술을 입에 넣으면 처음 단맛이 느껴지지만 오래가지 않고 곡물의 부드러움이 입 전체를 감싸주면서 산뜻한 신맛이 음식을 당기게 만들어 준다. 돼지고기 등의 수육과 잘 어울린다.",미인탁주
460,"고도리 화이트와인 드라이, 750ml, 10.5% 달지 않은 드라이한 맛과 깊은 아로마, 시트러스함이 식중주로도 잘 어울리는 화이트 와인이다. 상쾌함이 살아있는 만큼 다양한 생선회와도 잘 어울린다. 특히 광어나 우럭 등 기름기가 적은 생선회가 잘 맞는다.",고도리 화이트와인 드라이
461,"계룡백일주 12년, 600ml, 40% 계룡백일주 40%짜리보다 좀 더 다양한 향기가 올라온다. 외국의 잘 만든 진(GIN)을 먹는 것 같고 숙성이 잘 되어 도수가 높지만 술이 매우 부드럽고 목넘김 또한 좋다. 입 안에 솔잎 등에서 나는 은은한 잔맛이 기분을 좋게 한다. 특별한 날 함께 나누기에 좋은 술이다. 잔칫상 음식과 두루 어울린다.",계룡백일주 12년
462,"고도리 화이트와인 스위트, 750ml, 10.5% 새벽 공기에서 느껴지는 풀잎 향, 감귤계의 시트러스한 향, 과하지 않은 단맛이 조화를 이룬 맛이다. 과일을 즐긴다는 느낌으로 굳이 안주가 없어도 충분히 즐길 수 있는 맛이다.",고도리 화이트와인 스위트
463,"뱅꼬레 아이스와인, 375ml, 12% 진한 포도의 풍미 그대로 살려낸 맛. 단맛이 강하지만 절대로 과하다고 느껴지지 않는 포도 본연의 맛이 그대로 있다. 진득한 포도 맛을 자랑하며, 발효와 숙성을 통해 귀품 있는 맛을 자랑한다. 와인 맛 본연의 맛을 느끼기 위해 가벼운 샐러드와의 매칭을 추천한다.",뱅꼬레 아이스와인
464,"소백산 생 만찬주 750ml , 6% 유산균 발효향, 익은 곡물향이 올라온다. 입 안에서 미세한 가루가 텁텁함을 주어 밀가루 막걸리의 특징을 보여준다. 전체적으로 가볍고 목넘김이 깔끔하다. 야채 샐러드와 잘 어울린다.",소백산 생 만찬주
465,"예화, 750ml, 13% 맑은 황금빛의 색을 가지고 있으며 쌀로 빚은 술이지만 익은 과실향과 훈연된 향기가 동시에 올라온다. 술을 마시면 살균했을 때 올라오는 고소함과 단맛이 함께 올라오고 산미는 적다. 술을 마시고 난 후에 입 안에 남는 고소함이 독특하다. 문어 숙회 등과 잘 어울린다.",예화
466,"예주, 750ml, 15% 검붉은색과 담황색이 섞인 술로 과실 껍질에서 나는 향이 강하게 올라온다. 입 안에 넣으면 바로 산미가 올라오고 단맛은 적다. 알코올 맛이 강하게 입 안을 자극시키고 고소함이 혀에 남는다. 소고기 소금구이 등 담백한 음식과 곁들이면 좋다.",예주
467,"미생 막걸리, 750ml, 6% 일반 쌀 막걸리에 비해 단맛이 적은 드라이한 맛이다. 개운한 맛의 칼칼함이 특징. 덕분에 다양한 음식과 식중주로 잘 어울리는 막걸리이다. 단맛이 적어 달콤하고 매운 음식과 잘 어울릴 수 있다. 닭도리탕, 감자탕 등이 추천 메뉴다.",미생 막걸
468,"술아 매화주, 375ml, 15% 봄의 향기가 느껴지는 꽃향에서 시작, 상큼한 맛이 스쳐가지만 이내 쌀이 주는 달콤함으로 마무리가 되는 술이다. 진한 단맛과 긴 후미로 자극성 적고, 가벼운 샐러드류를 추천한다.",술아 매화주
469,"왕피천을 품은 미소생막걸리, 750ml, 7% 울진 왕피천에서 올라오는 맑은 물 맛과 쌀 막걸리 특유의 부드러움과 하늘하늘한 가벼움이 느껴지는 막걸리. 울진의 짜릿하게 맑은 하늘과 청정 지역이 떠오른다. 안주는 울진의 음식인 대게 또는 홍게찜과도 좋다.",왕피천을 품은 미소생막걸
470,"한비 쌀소주, 375ml, 40% 향이 강하지는 않지만 쌀을 발효시켜 증류했을 때의 고소함이 미세하게 올라오며, 아주 미세하게 산미가 느껴져 산뜻함을 가지고 있는 것이 특징이다. 입 안에 퍼지는 고소함이 매력적인 술이다. 백숙과 잘 어울린다.",한비 쌀소주
471,"천마몽, 375ml, 38% 알코올 향기와 함께 뿌리약재에서 나는 향, 바닐라 향 등이 복잡하게 올라온다. 처음엔 단맛이 느껴지고 그 뒤로 알코올이 입 전체를 자극시킨다. 술을 마시고 난 후에 혀에 남는 쓴맛이 매우 좋다. 맛과 향이 강하지 않은 음식과 어울린다.",천마몽
472,"생 청주 막걸리 750ml, 6% 쌀 막걸리의 가벼움과 밀가루 막걸리의 묵직함이 어울어진 술로 산미는 적지만 단맛이 두드러지고 탄산에 의한 청량감이 강한 막걸리다. 더덕구이랑 잘 어울린다.",생 청주 막걸
473,"회곡 생 동동주 1,200ml, 7% 곡물 발효에서 잘 익은 술에서 올라오는 바닐라 향과 단맛과 산미가 적절하게 조화되어 있으며 연한 청량미를 가지고 있다 바디감과 목넘김이 부드럽고 깔끔하다.",회곡 생 동동주
474,"한비 오가피술, 375ml, 40% 진한 호박색의 리큐르로 산뜻한 향이 올라오며, 약간의 단맛과 쓴맛이 오가피와 잘 어울린다. 도수에 비해 독하지 않고 목 넘김이 매우 부드러운 것이 특징이다. 탕수육 등 기름진 중국음식과 잘 어울린다.",한비 오가피술
475,"오미시앙 스페셜 500ml , 16.5% 예쁜 로제와인 색이 아름답다. 오미자의 오미 중에서 단맛은 적지만 산뜻한 산미와 텁텁함이 혀를 자극시키며 목넘김이 매우 깔끔하다. 생선 회와 잘 어울린다.",오미시앙 스페셜
476,"세종 쌀 막걸리 750ml, 6% 은은하게 올라오는 달콤한 향기에 산미가 없고 목넘김이 묵직하다. 입 안 전체에 부드러움이 특징이다. 육회와 잘 어울린다.",세종 쌀 막걸
477,"추사 로제, 375ml, 12% 연한 핑크 빛의 술로 사과를 입에 넣고 깨물어 나온 즙의 느낌을 그대로 느낄 수 있다. 입 안에서는 연한 단맛과 신맛이 조화롭고 살짝 느껴지는 쓴맛이 과실주의 맛을 더욱 좋게 만들어 준다. 목 넘김이 부드럽고 마시고 난 후에는 매우 시원하고 산뜻한 느낌을 준다. 사과가 들어간 파이, 과실 샐러드 등과 함께하면 좋다.",추사 로제
