,상품명,주종,도수,용량,가격,원재료,제조사,대표자명,주소,연락처,온라인스토어,홈페이지,우리술 품평회,가격수정
428,젤코바 스페셜와인,과실주,11.5%,375ml / 500ml / 750ml,"375ml ￦17,000, 
                                        500ml ￦25,000, 
                                        750ml ￦36,000 (가격은 판매처 별로 상이할 수 있습니다)","국내산 산머루, 
                                        MBA포도",농업회사법인 (주)젤코바와이너리,강창석,경북 상주시 청리면 남상주로 1108-3,054-534-7232,https://shopping.naver.com/fresh/traditionalalcohol/stores/100111080/products/2373815258,,,36000
429,천등산 차례주,청주,11%,700ml,"700ml ￦5,900 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        구연산, 
                                        효모, 
                                        젖산, 
                                        정제효소제, 
                                        국, 
                                        주정, 
                                        정제수",고헌정영농조합법인,김동학,충북 충주시 산척면 샛강영길 39,043-855-3333,https://smartstore.naver.com/gohunjung/products/4764632783,,,5900
430,느낌 19.8,증류식소주,19.8%,360ml,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다)","백미(국내산), 
                                        누룩, 
                                        효모, 
                                        정제수",농업회사법인 명품안동소주 (주),윤종림,경북 안동시 풍산읍 유통단지길 124-34,054-853-1200,https://smartstore.naver.com/andongmyongju/products/2443786996,,,4000
431,라이스퐁당 13,약주,13%,500ml,"￦15,000 (가격은 판매처 별로 상이할 수 있습니다)","찹쌀(국내산), 
                                        누룩, 
                                        정제수(음양곽, 감초)",농업회사법인 (주)벗드림,김성욱,"부산광역시 북구 덕천로247번길 3, 2층",051-337-3762,,https://blog.naver.com/butdream9,,15000
432,연천 연주,약주,12%,500ml,"￦15,000 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        누룩, 
                                        정제수",농업회사법인 연천양조(주),박용수,경기도 연천군 마산면 청정로 1738번길 15,031-833-3775,https://smartstore.naver.com/ycbrewery/products/4838391354,,,15000
433,신선주 약주,약주,16%,500ml,"￦25,000 (가격은 판매처 별로 상이할 수 있습니다)","찹쌀(국내산), 
                                        전통누룩(국내산)(밀함유), 
                                        약재(국화, 쇠무릅, 당귀, 하수오, 구기자, 맥문동, 인삼, 육계(계피), 숙지황, 생지황)",농업회사법인(주)신선,박준미,충청북도 청주시 상당구 것대로 5 1층,043-234-6799,https://smartstore.naver.com/sinseon,,2021 우수상,25000
434,당당하리,과실주,15%,375ml,"￦16,000(선물세트 3입) (가격은 판매처 별로 상이할 수 있습니다)","쌀(국산), 
                                        홍마늘(국산), 
                                        감초(국산), 
                                        개량누룩(국산), 
                                        효모, 
                                        정제효소제, 
                                        정제수, 
                                        복분자(국산), 
                                        설탕, 
                                        올리고당, 
                                        DL-사과산, 
                                        구연산, 
                                        무수아황산, 
                                        이산화항, 
                                        밀 함유",농업회사법인 (주)세찬 제조사,오세창,경상북도 영천시 임고면 포은로 842-50,054-337-5357,https://smartstore.naver.com/se-chan,,,16000
435,계룡백일주 16도_700ml*2,약주,16%,700ml*2개,"￦37,000(가격은 판매처 별로 상이할 수 있습니다.)","찹쌀, 
                                        백미, 
                                        누룩, 
                                        재리종국화꽃, 
                                        오미자, 
                                        진달래, 
                                        재래종 솔잎",계룡백일주,이성우,충남 공주시 봉정길 32,041-853-8511,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074041,,,37000
436,컨츄리 산머루 와인 (드라이),과실주,14%,750ml,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다.)",국산 산머루원액 100%,컨츄리 농원,김덕현,충북 영동군 영동읍 주곡리 590-14,043) 742-2095,https://shopping.naver.com/fresh/traditionalalcohol/stores/100066778,,,20000
437,홍삼 인삼주,일반증류주,38%,750ml,"￦70,000 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 정제주정, 인삼침출액, 홍삼농축액, 고과당 등",태평주가,이영춘,전북 진안군 진안읍 거북바위로 3길 15-35,063) 433-0078,https://shopping.naver.com/fresh/traditionalalcohol/stores/100089097,,,70000
438,톡 쏘는 복분자 막걸리,살균탁주,6%,750ml,"￦1,800 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 정제수, 쌀입국, 복분자원액, 효모 등",가평 우리술,박성기,"경기도 가평군 조종면 대보간선로 26, 29",070) 4115-8525,,http://woorisool.modoo.at/,,1800
439,허니비 와인_500ml,기타주류,8%,500ml,"￦35,000(가격은 판매처 별로 상이할 수 있습니다.)",국내산 벌꿀,아이비영농조합법인,양경열,경기도 양평군 강하면 왕창부로길 110,031-775-0500,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077882,,,35000
440,샤토미소 스위트,과실주,12%,750ml,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다.)","포도, 산화방지제, 효모, 설탕 등",도란원,안남락,충북 영동군 매곡면 유전 장척길 143,043) 743-2109,https://shopping.naver.com/fresh/traditionalalcohol/stores/100069001,,,20000
441,미소 아이스,과실주,12%,375ml,"￦40,000 (가격은 판매처 별로 상이할 수 있습니다.)","포도, 산화방지제, 효모 등",도란원,안남락,충북 영동군 매곡면 유전 장척길 143,043) 743-2109,https://shopping.naver.com/fresh/traditionalalcohol/stores/100069001,,,40000
442,컨츄리 산머루 와인 (스위트),과실주,12%,750ml,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다.)",국산 산머루원액 100%,컨츄리 농원,김덕현,충북 영동군 영동읍 주곡리 590-14,043) 742-2095,https://shopping.naver.com/fresh/traditionalalcohol/stores/100066778,,,20000
443,소곡화주_480ml,리큐르,41%,480ml,"￦45,000(가격은 판매처 별로 상이할 수 있습니다.)","찹쌀, 
                                        누룩, 
                                        백미, 
                                        정제수",녹천주조장,이임순,충청남도 서천군 한산면 한마로 105,041-951-9191,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113506,,,45000
444,입장탁주_750ml,살균탁주,6%,750ml,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)","쌀, 
                                        정제수, 
                                        고과당, 
                                        효모 등",농업회사법인 입장주조㈜,김용희,충남 천안시 서북구 입장면 성진로 808,010-5430-8741,,https://yeonmiju.modoo.at/,,1200
445,계룡백일주 30도_400ml*2,리큐르,30%,400ml*2개,"￦40,000(가격은 판매처 별로 상이할 수 있습니다.)","찹쌀, 
                                        백미, 
                                        누룩, 
                                        재리종국화꽃, 
                                        오미자, 
                                        진달래, 
                                        재래종 솔잎",계룡백일주,이성우,충남 공주시 봉정길 32,041-853-8511,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074041,,,40000
446,홍삼명주 375ml,기타주류,14%,375ml,"￦12,000 (가격은 판매처 별로 상이할 수 있습니다.)","홍삼추출액, 효모, 정백당, 정제수",자연과 인삼,김명자,충청북도 괴산군 청천면 도경로 640,02) 2675-4398,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113502,,,12000
447,청세주,약주,18%,375ml,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다.)",쌀(100%),병영주조장,김견식,전남 강진군 병영면 성남리 140-3,061) 432-1010,,http://byjujo.modoo.at/,,4000
448,다랭이팜 생 막걸리 (백미),탁주,6%,750ml,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 7분도 유기농 현미, 누룩, 효모 등",다랭이팜,이창남,경남 남해군 남면 홍현리 897번지,055) 862-3998,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077740,,,4000
449,여포의 꿈(레드스위트),과실주,12%,750ml,-,국내산 포도 100%,여포와인농장,여인성,충북 영동군 양강면 유점지촌길 75(여포와인농장),043) 744-7702,https://shopping.naver.com/fresh/traditionalalcohol/stores/100069118,,,19000
450,세종 오가닉,살균약주,13%,375ml,"￦9,000 (가격은 판매처 별로 상이할 수 있습니다.)","정제수, 유기농 백미, 국, 효모, 정제효소, 구연산",조은술 세종,경기호,충북 청주시 청원구 사천로 18번길 5-2,043) 218-7689,https://shopping.naver.com/fresh/traditionalalcohol/stores/100068990,,,9000
451,자두와인 화이트_750ml,과실주,12%,750ml,"￦22,000(가격은 판매처 별로 상이할 수 있습니다.)",후무사,자두사랑,전경재,경상북도 김천시 대학로 214,054-420-4155,,https://jadusarang.modoo.at/,,22000
452,문희 '문경오미자 수제 전통주',살균탁주,12%,"700ml, 500ml","￦21,000 / ￦18,000 (가격은 판매처별로 상이할 수 있습니다.)","햇찹쌀 100%(국내산), 전통누룩, 오미자(문경동로산)",문경주조 (전통술 체험관),홍승희,경상북도 문경시 동로면 노은리 192,054) 552-8252,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113504,,,21000
453,예담은 한산소곡주_750ml,약주,16%,750ml,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)","찹쌀, 
                                        멥쌀, 
                                        누룩, 
                                        대두, 
                                        구절초",한산예담은소곡주,강인구,충청남도 서천군 한산면 한마로 5(동산리),041-951-0785,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077967,,,12000
454,민속주 안동소주_800ml,증류식소주,45%,800ml,"￦33,500(가격은 판매처 별로 상이할 수 있습니다.)","쌀(국내산), 
                                        누룩, 
                                        정제수",민속주 안동소주,조옥화,경북 안동시 강남로 71-1,054-858-4541,https://shopping.naver.com/fresh/traditionalalcohol/stores/100076656,,,33500
455,베베마루 캠벨로제 스위트_375ml,과실주,10%,375ml,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)",포도(캠벨얼리 100%),월류원,박천명,충북 영동군 황간면 남성동3길 4-14,010-2466-7789,,https://bebemaru.modoo.at/,,20000
456,은자골 곶감 생 탁배기,탁주,6%,750ml,"￦1,500 (가격은 판매처 별로 상이할 수 있습니다.)","백미, 소맥분, 정제수, 곶감분말, 전분당, 국, 누룩, 효소, 아스파탐 등",은척양조장,임주원,경상북도 상주시 은척면 봉중2길 16-9,054) 541-6409,,http://takbaeki.modoo.at/,,1500
457,추사블루_375ml,과실주,12%,375ml,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)",블루베리(국내산),예산사과와인(주),서정학,충남 예산군 고덕면 대몽로 107-25,041-337-9584,https://shopping.naver.com/fresh/traditionalalcohol/stores/100068987,,,20000
458,다래와인 7004D_750ml,과실주,12%,750ml,"￦28,000(가격은 판매처 별로 상이할 수 있습니다.)",참다래,영농조합법인 오름주가,조현국,경상남도 사천시 미룡길 31-20,055-855-3626,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077883,,,28000
459,미인탁주,탁주,10%,500ml,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)","찹쌀, 
                                        누룩, 
                                        정제수",최행숙 전통주가,최행숙,경기도 파주시 법원읍 사임당로 763,031-958-1297,,http://파주전통주.kr,,15000
460,고도리 화이트와인 드라이,과실주,10.5%,750ml,"￦22,000(가격은 판매처 별로 상이할 수 있습니다.)",거봉포도(경북 영천),고도리 와이너리,최봉학,경북 영천시 고경면 고도리 494,010-3514-6470,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113499,,,22000
461,계룡백일주 12년_600ml,리큐르,40%,600ml,"￦150,000(가격은 판매처 별로 상이할 수 있습니다.)","찹쌀, 
                                        백미, 
                                        누룩, 
                                        재리종국화꽃, 
                                        오미자, 
                                        진달래, 
                                        재래종 솔잎",계룡백일주,이성우,충남 공주시 봉정길 32,041-853-8511,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074041,,,150000
462,고도리 화이트와인 스위트,과실주,10.5%,750ml,"￦22,000(가격은 판매처 별로 상이할 수 있습니다.)",거봉포도(경북 영천),고도리 와이너리,최봉학,경북 영천시 고경면 고도리 494,010-3514-6470,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113499,,,22000
463,뱅꼬레아이스_375ml,과실주,12%,375ml,"￦90,000(가격은 판매처 별로 상이할 수 있습니다.)",양조용포도(경북 영천),(주)한국와인,하형태,경북 영천시 금호읍 창산길 100-44,054-333-3010,https://shopping.naver.com/fresh/traditionalalcohol/stores/100172559,,,90000
464,소백산 생 만찬주,탁주,6%,750ml,"￦1,200 (가격은 판매처 별로 상이할 수 있습니다.)","정제수, 쌀, 소맥분, 입국, 효모, 아스파탐 등",대강양조장,조국환,충북 단양군 대강면 장림리 113-7,043) 422-0900,,http://krwine.modoo.at/,,1200
465,예화_750ml,약주,13%,750ml,"￦10,000(가격은 판매처 별로 상이할 수 있습니다.)","쌀, 
                                        누룩, 
                                        효모, 
                                        물엿, 
                                        정제수",농업회사법인 대윤가야곡주조(주),김한수,충청남도 논산시 가야곡면 매죽헌로 809,041-741-7977,https://shopping.naver.com/fresh/traditionalalcohol/stores/100112678,,,10000
466,예주_750ml,과실주,15%,750ml,"￦29,000(가격은 판매처 별로 상이할 수 있습니다.)","복분자, 
                                        주정, 
                                        효모, 
                                        정제수",용두산조은술,조국환,충북 제천시 송학면 송학주천로647,043-651-0770,https://shopping.naver.com/fresh/traditionalalcohol/stores/100078069,,,29000
467,미생 막걸리,탁주,6%,750ml,"￦1,100(가격은 판매처 별로 상이할 수 있습니다.)","국내산 쌀, 
                                        누룩, 
                                        효모, 
                                        정제효소, 
                                        정제수",김포금쌀탁주영농조합법인,최춘기,경기도 김포시 하성면 하성로 622,031-989-0104,https://shopping.naver.com/fresh/traditionalalcohol/stores/100194518,,,1100
468,술아 매화주,약주,15%,375ml,"￦36,000(375ml*2병)(가격은 판매처 별로 상이할 수 있습니다.)","국내산 찹쌀, 
                                        누룩, 
                                        건조매화꽃, 
                                        증류주, 
                                        정제수",농업회사법인(주)술아원,강진희,"경기도 여주시 대신면 대신1로 120, 나호",070-8776-0007,https://shopping.naver.com/fresh/traditionalalcohol/stores/100076879,,,36000
469,왕피천을 품은 미소생막걸리,탁주,7%,750ml,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)","쌀, 
                                        누룩, 
                                        정제수",울진술도가,홍순영,경북 울진군 근남면 노음2길 4,054-782-1855,,http://www.uljinsuldoga.com,,1200
470,한비 쌀소주,증류식소주,40%,375ml / 750ml,"￦30,000(375ml), ￦40,000(750ml)(가격은 판매처 별로 상이할 수 있습니다.)","국내산 쌀, 
                                        누룩, 
                                        정제수",제천한약영농조합법인,구교창,충북 제천시 봉양읍 북부로 5길 16-10,043-642-9000,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113505,,,30000
471,천마몽_375ml,리큐르,38%,375ml,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)","쌀, 
                                        누룩, 
                                        효모, 
                                        천마, 
                                        정제수",덕유양조,이재국,전북 무주군 안성면 장무로 1375-7,063-323-2355,,https://meorusove.modoo.at/,,15000
472,생 청주 막걸리,탁주,6%,750ml,"￦1,500 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 소맥분, 국, 조제종국, 효모, 물엿 등",조은술 세종,경기호,충북 청주시 청원구 사천로 18번길 5-2,043) 218-7689,https://shopping.naver.com/fresh/traditionalalcohol/stores/100068990,,,1500
473,회곡 생 동동주,탁주,7%,"1,200ml","￦1,300 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 입국, 누룩, 아스파탐, 효모, 정제수, 아세설팜칼륨",회곡양조장,권용복,경상북도 안동시 풍산읍 산업단지 5길 39,054) 853-7777,,http://andongsul.modoo.at/,,1300
474,한비 오가피술,리큐르,35%,375ml / 750ml,"￦30,000(375ml), ￦50,000(750ml)(가격은 판매처 별로 상이할 수 있습니다.)","국내산 쌀, 
                                        누룩, 
                                        가시오가피 뿌리, 
                                        정제수",제천한약영농조합법인,구교창,충북 제천시 봉양읍 북부로 5길 16-10,043-642-9000,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113505,,,30000
475,오미시앙 스페셜,과실주,12%,500ml,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다.)","오미자, 주정, 설탕, 효모",알에프,배중술,전북 장수군 계남면 침곡로 11-26,036) 351-6996,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113488,,,10000
476,세종 쌀 막걸리,살균탁주,6%,750ml,"￦1,500 (가격은 판매처 별로 상이할 수 있습니다.)","정제수, 백미, 소맥분, 전분당, 효모, 젖산 등",조은술 세종,경기호,충북 청주시 청원구 사천로 18번길 5-2,043) 218-7689,https://shopping.naver.com/fresh/traditionalalcohol/stores/100068990,,,1500
477,추사 로제,과실주,12%,375ml,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)",사과(국내산),예산사과와인(주),서정학,충남 예산군 고덕면 대몽로 107-25,041-337-9584,https://shopping.naver.com/fresh/traditionalalcohol/stores/100068987,,,20000
478,애피소드 상그리아,과실주,3.5%,500ml,"￦21,000(500ml*6병)(가격은 판매처 별로 상이할 수 있습니다.)","포도와인, 
                                        정제주정, 
                                        정제수, 
                                        포도농축액, 
                                        고과당",(주)한국애플리즈,한임섭,경북 의성군 단촌면 일직점곡로 755,054-834-7800,https://shopping.naver.com/fresh/traditionalalcohol/stores/100186401,,,21000
479,애피소드 호프,기타주류,3.5%,500ml,"￦21,000(500ml*6병)(가격은 판매처 별로 상이할 수 있습니다.)","사과과즙, 
                                        보리, 
                                        쌀, 
                                        홉",(주)한국애플리즈,한임섭,경북 의성군 단촌면 일직점곡로 755,054-834-7800,https://shopping.naver.com/fresh/traditionalalcohol/stores/100186401,,,21000
480,시인의 마을 우리쌀 막걸리,탁주,10%,700ml,"￦7,900(가격은 판매처 별로 상이할 수 있습니다.)","쌀(국내산), 
                                        누룩, 
                                        정제수, 
                                        무감미료",이원양조장,강현준,충북 옥천군 이원면 묘목로 113,043-732-2177,,http://iwonwine.com,,7900
481,예밀와인 레드 드라이,과실주,13%,750ml,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)",포도(캠벨얼리),예밀2리영농조합법인,정정근,강원도 영월군 김삿갓면 예밀촌길 228-20,033-375-3720,,http://www.yemilchon.co.kr/,,20000
482,설하담,탁주,8%,950ml / 475ml,"￦7,400(950ml), 
                                        ￦3,900(475ml)(가격은 판매처 별로 상이할 수 있습니다)","국내산 멥쌀 100%, 
                                        개량 누룩, 
                                        정제수, 
                                        이산화탄소",리큐랩주식회사,김승언,부산광역시 영도구 남항새싹길 186,070-4116-3120,,https://smartstore.naver.com/sulhadam,,7400
483,흑돈주,기타주류,16%,365ml,"￦12,000원 (가격은 판매처 별로 상이할 수 있습니다)","황칠나무(제주산), 
                                        정제수, 
                                        포도당, 
                                        효모",왕지케양조장 (제주본초협동조합),구자권,제주특별자치도 제주시 한경면 고산로 2길 22-13,070-4035-7071,https://shopping.naver.com/fresh/traditionalalcohol/stores/100076505,,,12000
484,편백숲 산소막걸리,탁주,5.2%,750ml,"￦1,900 (가격은 판매처 별로 상이할 수 있습니다)","멥쌀, 
                                        올리고당, 
                                        사과농축액, 
                                        누룩, 
                                        아스파탐",농업회사법인 (주)청산녹수,김진만,전남 장성군 장성읍 남양촌길(백계리) 19,061-393-4141,https://smartstore.naver.com/bluegreenk/products/4442220451,,,1900
485,허니문와인,기타주류,10%,375ml,"￦35,000 (가격은 판매처 별로 상이할 수 있습니다)",국내산 벌꿀,아이비영농조합법인,양경열,경기도 양평군 강하면 왕창부로길 110,031-775-0500,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077882,,,35000
486,크라테 레드와인 스위트,과실주,11.5%,750ml,"￦48,000 (가격은 판매처 별로 상이할 수 있습니다)",산머루,수도산 와이너리,백승현,경북 김천시 증산면 금곡리3길 29,010-6403-3077,,http://www.krater1317.com/,,48000
487,예밀와인 레드 스위트,과실주,12%,750ml,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)",포도(캠벨얼리),예밀2리영농조합법인,정정근,강원도 영월군 김삿갓면 예밀촌길 228-20,033-375-3720,,http://www.yemilchon.co.kr/,,20000
488,시나브로 레드 드라이,과실주,12%,750ml,"￦25,000 (가격은 판매처 별로 상이할 수 있습니다)",포도(캠벨얼리),불휘농장,이근용,충북 영동군 심천면 약목2길26,043-742-5275,,,,25000
489,해방주 38%,일반증류주,38%,800ml,"￦45,000(800ml38%)(가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        해방풍(국내산), 
                                        조효소제, 
                                        효모, 
                                        젖산, 
                                        정제효소제, 
                                        구연산",농업회사법인(주)영덕주조,김상호,경북 영덕군 강구면 소월1길 16-10,054-733-5641,,http://ydjujo.co.kr/new/index.php,,45000
490,정고집 나주배 약주 9%,약주,9%,500ml,"￦18,000 (가격은 판매처 별로 상이할 수 있습니다)","쌀, 
                                        쌀가루(국내산), 
                                        배착즙액(나주산), 
                                        정제효소제, 
                                        종국, 
                                        젖산, 
                                        효모",남도탁주,정내진,전남 나주시 노안면 노안로379,010-2718-2577,,https://namdotakju.modoo.at/,,18000
491,기다림 34,탁주,12%,500ml,"￦15,000 (가격은 판매처 별로 상이할 수 있습니다)","멥쌀(국내산), 
                                        찹쌀(국내산), 
                                        곡자(밀누룩 국내산), 
                                        정제수",농업회사법인(주)제이케이크래프트,조태영,부산광역시 동래구 사직북로48번길 34,010-2226-8523,,http://www.gidarim.co.kr/,,15000
492,그랑꼬또 M5610,과실주,10%,750ml,"￦56,000 (가격은 판매처 별로 상이할 수 있습니다)",포도(캠벨얼리),그린영농조합법인,김지원,경기도 안산시 단원구 뻐꾹산길 107(대부북동),032-886-9873,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113491/products/2393595570,,,56000
493,해미읍성 매실와인,과실주,12%,500ml,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)","매실(80%), 
                                        아황산염, 
                                        소르빈산염",농업회사법인해미읍성딸기와인(주),신권수,충남 서산시 고북면 산직마을길85,041-688-3980,https://shopping.naver.com/fresh/traditionalalcohol/stores/100305527,,,20000
494,배꽃담은 연 생막걸리,탁주,10%,720ml,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)","국내산 쌀, 
                                        누룩, 
                                        효모, 
                                        젖산, 
                                        연잎, 
                                        정제수",(주)농업회사법인 술빚는 전가네,전기보,경기도 포천시 영북면 산정호수로 322번길 28,031-532-9708,https://shopping.naver.com/fresh/traditionalalcohol/stores/100340871,,,20000
495,기다림 25,탁주,8%,750ml,"￦9,900 (가격은 판매처 별로 상이할 수 있습니다)","백미(국내산), 
                                        찹쌀(국내산), 
                                        곡자(밀누룩 국내산), 
                                        정제수",농업회사법인(주)제이케이크래프트,조태영,부산광역시 동래구 사직북로48번길 34,010-2226-8523,,http://www.gidarim.co.kr/,,9900
496,그랑꼬또 화이트와인,과실주,12%,750ml,"￦40,000 (가격은 판매처 별로 상이할 수 있습니다)",포도(캠벨얼리),그린영농조합법인,김지원,경기도 안산시 단원구 뻐꾹산길 107(대부북동),032-886-9873,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113491,,,40000
497,기다림 16,탁주,9%,750ml,"￦11,000 (가격은 판매처 별로 상이할 수 있습니다)","찹쌀(국내산), 
                                        흑미(국내산), 
                                        곡자(밀누룩 국내산), 
                                        정제수",농업회사법인(주)제이케이크래프트,조태영,부산광역시 동래구 사직북로48번길 34,010-2226-8523,,http://www.gidarim.co.kr/,,11000
498,볼빨간막걸리 7,탁주,7%,500ml,"￦5,000 (가격은 판매처 별로 상이할 수 있습니다)","찹쌀(국내산), 
                                        누룩, 
                                        정제수",농업회사법인 (주)벗드림,김성욱,"부산광역시 북구 덕천로247번길 3, 2층",051-337-3762,,https://blog.naver.com/butdream9,,5000
499,막시모40,일반증류주,40%,500ml,"￦49,000 (가격은 판매처 별로 상이할 수 있습니다)","오미자(국내산)증류원액, 
                                        오미자(국내산)원액, 
                                        정제수",농업회사법인(주)착한농부,김상선,경북 예천군 용문면 복천길 16-8,054-652-0877,,https://goodfarmer.modoo.at/,,49000
500,편백숲 산소막걸리 순수령,탁주,5.8%,750ml,"￦4,000 (가격은 판매처 별로 상이할 수 있습니다)","멥쌀, 
                                        찹쌀, 
                                        누룩",농업회사법인 (주)청산녹수,김진만,전남 장성군 장성읍 남양촌길(백계리) 19,061-393-4141,https://smartstore.naver.com/bluegreenk/products/4568760416,,,4000
501,천년담주,약주,15%,500ml,"￦10,000 (가격은 판매처 별로 상이할 수 있습니다)","백미(국내산, 
                                        무기농 무농약), 
                                        벌꿀(국내산), 
                                        정제수",농업회사법인 (주)죽향도가,장유정,전남 담양군 담양읍 외다길30,061-381-8700,,http://jhdg.co.kr,,10000
502,청송 얼음골 동동주,탁주,6%,"1,200ml","￦1,800 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        밀가루, 
                                        누룩, 
                                        입국, 
                                        효모, 
                                        아스파탐, 
                                        청송사과액즙, 
                                        정제수",청송양조장,정우기,경북 청송군 부남면 대전로 121-1,054-872-4300,,https://cheongsongsul.modoo.at,,1800
503,석탄주 탁주,탁주,15%,500ml,"￦6,000 (가격은 판매처 별로 상이할 수 있습니다)","국내산 찹쌀, 
                                        누룩, 
                                        정제수",케이소주 (전주가양주연구소),서승권,전북 전주시 완산구 중산중앙로27. 3층,010-4651-5595,,https://ksoju.modoo.at/,,6000
504,경기전,기타주류,5%,1000ml,"￦27,000(1000ml*3병)(가격은 판매처 별로 상이할 수 있습니다)","보리(국내산), 
                                        맥아(국내산), 
                                        호프펠렛, 
                                        효모, 
                                        정제효소제, 
                                        정제수",농업회사법인 동문거리양조장(주) (전주술로시티),유상우,전북 전주시 완산구 동문길99,010-3677-3338,https://shopping.naver.com/fresh/traditionalalcohol/stores/100275247,,,27000
505,모월 청,약주,16%,500ml,"￦21,000 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        누룩, 
                                        정제수",협동조합 주담,김원호,강원도 원주시 판부면 판부신촌길 84,033-748-8008,,http://www.mowall.co.kr,,21000
506,해미읍성 살구와인,과실주,12%,500ml,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)","살구(80%), 
                                        아황산염, 
                                        소르빈산염",농업회사법인해미읍성딸기와인(주),신권수,충남 서산시 고북면 산직마을길85,041-688-3980,https://shopping.naver.com/fresh/traditionalalcohol/stores/100305527,,,20000
507,포엠 레드 스위트와인,과실주,12%,750ml,"￦25,000 (가격은 판매처 별로 상이할 수 있습니다)","포도(국내산_캠벨얼리, MBA)",갈기산포도농원 (주)농업회사법인,남성로,충북 영동군 학산면 모리1길 23,010-4715-3100,,http://m.galgisan.cafe24.com/,,25000
508,주산지 막걸리,탁주,6%,750ml,"￦1,200 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        밀가루, 
                                        누룩, 
                                        입국, 
                                        효모, 
                                        고과당, 
                                        물엿, 
                                        아스파탐, 
                                        삭카린나트륨, 
                                        정제수",청송양조장,정우기,경북 청송군 부남면 대전로 121-1,054-872-4300,,https://cheongsongsul.modoo.at,,1200
509,해미읍성 모과와인,과실주,12%,500ml,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)","모과(80%), 
                                        아황산염, 
                                        소르빈산염",농업회사법인해미읍성딸기와인(주),신권수,충남 서산시 고북면 산직마을길85,041-688-3980,https://shopping.naver.com/fresh/traditionalalcohol/stores/100305527,,,20000
510,도로시 머루주,과실주,12%,500ml,"￦25,000 (가격은 판매처 별로 상이할 수 있습니다)","국내산 산머루원액 78.5%, 
                                        주정",산머루농원영농조합법인,서부건,경기도 파주시 윗배우니길 441-25,031-958-4558,,https://sanmeoru.modoo.at,,25000
511,그랑티그르M1988,과실주,12%,750ml,"￦40,000 (가격은 판매처 별로 상이할 수 있습니다)","포도(캠벨얼리), 
                                        오미자",월류원 (오드린),박천명,충북 영동군 황간면 남성동3길 4-14,010-2466-7789,https://shopping.naver.com/fresh/traditionalalcohol/stores/100235003,,,40000
512,충주 백주,일반증류주,35%,375ml,"￦7,800 (가격은 판매처 별로 상이할 수 있습니다)","쌀증류원액(국내산), 
                                        당귀, 
                                        아스파탐, 
                                        아세설팜K, 
                                        구연산, 
                                        정제수",고헌정영농조합법인,김동학,충북 충주시 산척면 샛강영길 39,043-855-3333,,http://goheonjeong.co.kr,,7800
