,정보,상품명
430,느낌 19.8은 전통적인 안동소주 제조방식으로 술을 빚은 후 저도주를 선호하는 소비자의 입맛에 맞춰 기존 알코올 40도가 넘는 고도주에서 19.8도로 낮추어 가볍게 마실 수 있는 제품으로 출시하였다. 지하 158m 천연 암반수를 사용하여 술을 빚고 전통적인 안동소주 양조법에 술 맛을 부드럽게 하는 감압증류방식으로 제조하여 안동소주를 현대적으로 재해석한 제품이다.,느낌 19.8 
431,라이스퐁당은 부산에서 재배한 찹쌀로 만든 수제 약주이다. 라이스퐁당은 쌀과 누룩 그리고 물만으로 빚은 순수 발효주이다. 음양곽과 감초를 우린 물로 빚어 저온 숙성발효과정을 거치면 찹쌀의 단맛과 풍미 그리고 약재가 첨가되어 기품 있는 약주의 맛을 느낄 수 있다. 퐁당은 프랑스어로 달라라는 뜻으로 은은한 단맛을 자아내어 라이스퐁당이라 이름지었다.,라이스퐁당 13 
432,경기도 최북단 DMZ의 민통선에 위치한 연천양조장에서 연천 고래실논에서 재배되는 연천쌀과 누룩으로 빚은 연천 연주는 전통방식의 약주인데 단맛이 감하지 않아 마실 때 술과 안주를 부르는 맛이다. 연주(戀酒)는 사랑스러운 뜻도 있지만 자기 돈 내고 마시고 싶은 술이란 의미도 지닌다. 그 만큼 양조인 스스로도 고개가 끄덕여지는 술맛을 내겠다는 다짐으로 집어진 술이다.,연천 연주 
433,신선주는 함양박씨 종갓집에서 12세(世) 1대(代) 충청도 도사를 지내셨던 박숭탕 선조부터 현재 30세(世) 19대(代) 박준미 계승자까지 집안 대대로 500년간 집안 비법 그대로 내려오고 있는 가양주이다.,신선주 약주 
434,마늘은 흔히 일해백리(一害百利)라 한다. 마늘의 강한 향 한 가지 단점을 빼면 백 가지 이로운 점이 있다는 뜻이다. ‘당당하리’는 마늘의 고유 향은 감추되 마늘의 백리만 듬뿍 담아 좋은 재료만을 사용한 지역 특산주이다.,당당하리 
435,계룡백일주는 400여년을 이어온 한국의 전통 명주로서 조선 인조시대부터 궁중술의 제조비법을 하사받아 연안이씨 가문에서 15대째 대를이어 내려온 명주이다. 백일주 빚기에 평생을 바친 이성우 명인의 장인정신과 정성으로 빚어지며 은은한 향과 진한 감칠맛이 일품으로 옛부터 왕에게 진상하던 궁중술이었다.,계룡백일주 
436,천혜의 자연조건으로 포도의 당도가 높고 맛이 좋기로 유명한 충북 영동은 지역의 컨츄리 와이너리. 30년의 포도농사 노하우로 직접 재배한 포도와 산머루를 사용하여 와인을 빚고 있으며 마음 놓고 마실 수 있도록 첨가제를 전혀 넣지 않고 만드는 수제 와인으로도 유명한 와이너리다. 컨츄리 산머루와인 (드라이)는 산머루 특유의 산뜻함과 부드러움이 조화를 이룬 와인으로 묵직한 맛이 일품이며 풍부한 질감을 그대로 느끼기에 알맞은 와인이다.,컨츄리 산머루 와인 (드라이) 
437,홍삼 인삼주는 4년 이상 아침기운과 맑은 바람을 맞고 자란 인삼을 넣어 그 긴 기다림의 시간을 우리 술에 그대로 녹여 낸 술이다. 국내 최고의 인삼산지인 진안 고원에서 최고의 품질로 재배된 인삼과 홍삼을 그대로 담그거나 숙성한 것이 아니라 원물 그대로 증기로 쪄내 건조시켜 넣은 것으로 한병한병 정성스럽게 빚어낸 태평주가의 진심이 담겨있다.,홍삼 인삼주 
438,톡 쏘는 복분자 막걸리는 기성세대만 마신다는 막걸리의 이미지를 버리고 신세대를 겨냥한 새로운 스타일의 막걸리로 천연 복분자 과즙을 녹여내어 막걸리 특유의 맛을 좋아하지 않는 사람도 모두 함께 부담 없이 즐길 수 있는 막걸리다.,톡 쏘는 복분자 막걸리 
439,아이비영농조합의 허니비 와인은 당도는 스위트와인보다 낮고 달콤한 맛을 자아낸다. 가벼운 단맛이라기 보다는 그윽하고 산뜻함이 느껴지는 제품이다. 물 맑고 공기 좋은 천혜의 자연이 살아있는 친환경 농업 특구인 양평에 자리를 잡은 아이비영농조합은 경기도지사 G마크와 미국 FDA 인증으로 검증된 국내 최고 품질의 프리미엄 100% 순수 꽃꿀을 재배하고 있다. 허니비 와인의 주재료인 벌꿀은 바로 아이비영농조합의 프리미엄 벌꿀로만 만들어진다.,허니비 와인 
440,기원전 6세기경부터 시작한 프랑스 와인을 따라 해 어설피 흉내만 내는 와인을 만들기보다 한국 와인의 특성을 살려 나만의 와인을 만들어야 누구에게나 자신 있게 내놓을 수 있을 것 같았다는 도란원 와이너리 유럽의 오래된 역사를 따라간 것이 아니라 한국 고유의 와인을 만들어 내고 있는 곳이다. 영동의 포도로 만들어 한국특유의 맛이 살아있는 와인. 고운 빛깔뿐만 아니라 달콤한 맛과 향은 한국형 와인의 대표라고 불리기에 손색이 없다.,샤토미소 스위트 
441,기원전 6세기경부터 시작한 프랑스 와인을 따라 해 어설피 흉내만 내는 와인을 만들기보다 한국 와인의 특성을 살려 나만의 와인을 만들어야 누구에게나 자신 있게 내놓을 수 있을 것 같았다는 도란원 와이너리 유럽의 오래된 역사를 따라간 것이 아니라 한국 고유의 와인을 만들어 내고 있는 곳이다. 영동의 포도로 만들어 서양의 오크통 대신 국내산 대나무 통으로 숙성시켜 한국특유의 맛이 살아있는 와인. 고운 빛깔뿐만 아니라 달콤한 맛과 향은 한국형 와인의 대표라고 불리기에 손색이 없다.,미소 아이스 
442,천혜의 자연조건으로 포도의 당도가 높고 맛이 좋기로 유명한 충북 영동은 지역의 컨츄리 와이너리. 30년의 포도농사 노하우로 직접 재배한 포도와 산머루를 사용하여 와인을 빚고 있으며 마음 놓고 마실 수 있도록 첨가제를 전혀 넣지 않고 만드는 수제 와인으로도 유명한 와이너리다. 컨츄리 산머루와인 (스위트)는 적당한 달콤함이 있어 개성 있는 풍미를 만들며 다양한 음식과도 잘 어울리기 때문에 어디에나 마셔도 좋은 와인이다.,컨츄리 산머루 와인 (스위트) 
443,한산소곡주는 백제 1500년의 오랜 역사와 전통을 고스란히 담아 전해 내려오는 전통주다. 찹쌀과 누룩을 주원료로 들국화 메주콩 생강 홍 고추 등의 조화 속에 100일간 숙성을 하여 빚어지는 전통주 한산소곡주는 감미로운 향과 특유의 감칠맛 때문에 취하면 자리에서 일어설 줄 모른다고 하여 ‘앉은뱅이 술’이란 이름으로도 불린다. 소곡화주는 한산소곡주를 증류한 프리미엄 소곡주이다.,녹천 소곡화주 
444,입장탁주는 생쌀을 그대로 발효하여 술을 빚는 무증자 발효방식으로 가열시 사라질 수 있는 발효 영양소를 살려 목넘김이 부드럽다는 평가를 받고 있는 제품이다. 생쌀발효로 고두밥 발효보다는 천천히 발효되는 관계로 양조장 출하날짜로부터 냉장에서 7일 정도 숙성된 막걸리의 맛을 추천하고 있다. 수 차례 전통주 관련 품평회에서 수상한 제품으로 천안지역 막걸리를 대표하고 있다.,입장탁주 
445,계룡백일주는 400여년을 이어온 한국의 전통 명주로서 조선 인조시대부터 궁중술의 제조비법을 하사받아 연안이씨 가문에서 15대째 대를이어 내려온 명주이다. 백일주 빚기에 평생을 바친 이성우 명인의 장인정신과 정성으로 빚어지며 은은한 향과 진한 감칠맛이 일품으로 옛부터 왕에게 진상하던 궁중술이었다. 16도 계룡백일주를 증류하여 만든 계룡백일주 30도는 칼칼한 맛과 감칠맛으로 계룡백일주의 더욱 깊은 맛을 즐길 수 있다.,계룡백일주 
446,홍삼명주는 세계에서 최초로 홍삼을 발효시킨 주류로 4년근의 홍삼을 살아있는 효모로 40일간 발효시킨 후 원액을 1년 이상 숙성해서 첨가물 없이  만드는 술이다. 블랜딩 하지 않은 순수 발효와 자연 그대로의 공법으로 홍삼의 유효성분 흡수가 효과적이며 홍삼 특유의 깊은 맛과 향기를 그대로 느껴볼 수 있으며 다양한 용량으로 출시되 자신의 주량과 분위기에 맞게 선택이 가능하다.,홍삼명주 375ml 
447,청세주(靑世酒)는 세상을 푸르게 하는 술이란 뜻으로 햅쌀을 발효한 후 여과와 살균 처리 과정을 거쳐 오랜 시간 숙성해 향이 은은하고 숙취부담이 없다. 청사과 같은 새콤한 느낌을 가진 술이면서도 단맛이 적고 부드러워 대중에게 꾸준히 사랑받고 있는 술이다. 청세주는 동의보감에 근거하여 우리 몸에 좋다는 전통방식으로 쌀을 발효시켜 구기자 산수유 더덕 오가피 등의 한약재를 첨가하여 빚은 약주다. 18도라는 도수를 알면 놀랄 만큼 부드러운 목넘김을 가지고 있는 술.,청세주 
448,일반 시중보다 3배 이상 비싼 원료로 만드는 막걸리를 생산하기 시작했을 때 주위 사람들은 모두가 다랭이팜은 곧 망할 것이다라고 했다고 한다. 하지만 최고의 막걸리를 위해 좋은 원료를 고집했고 이를 알아 주는 많은 사람들이 다랭이팜을 찾아주고 있다. 역시 최고의 원료로 빚는 막걸리는 그 맛부터 다르다. 다랭이팜은 합성감미료를 전혀 사용하지 않으며 유기농 7분도 현미와  앉은뱅이 밀 누룩 지하 150m 암반수로 전통항아리에서 발효시키고 있다. 최고의 원료만을 사용하고 있다는 말이다.,다랭이팜 생 막걸리 (백미) 
449,여포 농장이 위치한 충북 영동 지역은 일교차가 크고 충분한 햇볕을 받아 과일의 향이 좋고 색이 아름답기로 유명하다. 이곳에서 무농약 무제초 무비료의 3대 원칙을 지켜나가며 자연이 주는 위대한 힘에 이루어 작물을 키워 술을 담그며 이 작물로 만드는 와인의 깊은 맛과 풍미는 어느 유명 와인과 견주어도 손색 없을 정도로 그 완성도가 뛰어나다. 여포의 꿈 레드 (SWEET)는 머스켓베리에이(MBA) 켐벨얼리 산머루의 세가지 포도품종을 각각 60% 30% 10%의 비율로 브랜딩하여 각각의 품종 장점을 최대한 끌어내 감미롭고 풍부한 과일 향을 가진 와인이다. 목 넘김이 좋아 와인 초보자나 술을 즐기지 않는 사람들이 마시기 좋은 와인.,여포의 꿈 레드(SWEET) 
450,100% 유기농 원료로 만든 Organic은 2014년 지역희망 박람회 지역특화상품전에서 최고상인 산업통상자원부 장관상을 받았다. 최고급의 재료만으로 빚는 술은 세계 유기농 엑스포 공식 건배주로도 사용된 술이며 유기가공 식품 인증과 품격을 갖춘 세련된 디자인은 마치 와인을 보는듯한 착각마저 일으킨다. 단맛은 적으면서 깔끔해 부담없이 마시기도 좋다.,세종 오가닉 
451,전국에서 가장 많은 자두를 재배하고 있는 자두특구 경북 김천의 품질 좋은 자두와 김천대학교의 양조기술이 결합하여 탄생한 자두와인이다. 한국와인의 특성 중에 하나가 포도뿐만 아니라 지역에서 생산하는 다양한 과실로 술을 빚는다는데 있는데 자두와인이 대표적인 경우이다. 2014년 대한민국 우리술품평회 과실주 부문에서 장려상을 수상하여 품질 또한 좋다.,자두와인 화이트 
452,프리미엄 탁주인 문희는 문경주조가 위치한 문경의 옛 이름인 문희에서 따온 술로 기쁜 소식을 전한다는 의미를 담고 있다. 모든 술 빚는 과정 하나하나를 손으로 직접 하고 있는 수제전통주로 힘겨운 육체노동 뒤 황토 벽돌로 지은 황토 방에서 100일 이상 자연 건조로 숙성시키는 기다림 끝에서야 비로소 진짜배기 탁주를 얻을 수 있다. 재료를 세 번에 담는 전통 삼양주 기법으로 90일에서 100일간을 숙성시켜 빚고 있는 문희에 오미자를 첨가하여 만든 술. 인공 감미료를 전혀 쓰지 않고 유기농 햇 찹쌀과 전통누룩 그리고 천연 암반수로만 빚어 숙취가 없고 풍미가 상당히 뛰어난 탁주다.,문희 (오미자) 
453,한산소곡화주는 국내산 찹쌀과 누룩을 주원료로 빚은 오랜 전통과 역사를 자랑하는 전통주이다.강한 첫맛과 함께 깔끔한 뒷맛을 가지고 있으며 고급원료를 사용하기 때문에 그 맛과 향이 어느 술보다 뛰어나다. 술맛이 뛰어나 한번 앉아서 마시기 시작하면 일어날줄 모른다하여 앉은뱅이 술이라는 별칭도 가지고 있다.,예담은 한산소곡주 
454,안동소주는 주로 명문가의 가양주로 계승되어 왔으며 일제 강점기와 해방 후 식량문제 등으로 자칫 단절될 위기에 처한 적이 있었다. 서울 올림픽을 계기로 정부의 적극적인 민속주 발굴에 힘입어 1987년 경북 무형문화재 제12호 안동소주 기능보유자로 고 조옥화여사가 지정되어 1990년 9월에 생산을 시작했으며 고 조옥화 여사는 2000년 국가지정 식품명인 제20호로도 지정되기도 했다. 현재는 안동소주 기능보유자인 며느리 배경화와 아들 김연박에게 제법이 전승되어 생산하고 있다. 안동의 “맑고 깨끗한 물과 옥토에서 수확된 양질의 쌀”을 가지고 전통비법으로 빚어낸 증류식소주로서 45도의 높은 도수에도 마신뒤 담백하고 은은한 향취에다 감칠맛이 입안 가득히 퍼져 매우 개운하다. 또 장기간 보관이 가능하며 오래 지날수록 풍미가 더욱 좋아지는 장점을 가진 한국을 대표하는 전통주이다.,민속주 안동소주 
455,베베마루 캠벨로제 스위트는 한국와인의 메카 충북 영동군에 위치한 와이너리 월류원에서 생산하는 와인이다. 직접 경작하는 포토밭에서 수확한 캠벨얼리 품종을 이용하여 시그니처 발효 및 숙성기술로 만들어진 와인으로 딸기 장미 체리 등 풍부한 과실향이 잘 어우러져 있다. 와인의 평가 기준인 당도 탄닌 바디감 등의 균형감이 우수하다는 평가를 받고 있다.,베베마루 캠벨로제 스위트 
456,삼백의 고을인 상주는 쌀 누에 곶감의 고장으로 잘 알려져 있다. 상주의 은척 양조장에서는 상주의 햇 삼백쌀과 곶감을 이용하여 빚는 막걸리가 있는데 3대째 이어지고 있는 발효실과 백 년이 넘은 술독이 아직도 현역으로 제 몸을 비우고 채우는 일을 계속하고 있다. 은자골 곶감 생 탁배기는 전통누룩 이용하여 곶감을 첨가해 빚은 막걸리로 쌀 막걸리 특유의 부드러운 목넘김을 가지고 있으며 곶감의 달콤함이 더해져 누구나 쉽게 마실 수 있는 막걸리다.,은자골 곶감 생 탁배기 
457,충남 예산에서 친환경 농법으로 재배한 블루베리로 만든 와인이다. 추사 애플와인의 제조사로 유명한 예산사과와인의 신제품으로 물이나 주정을 첨가하지 않고 한 달간의 저온발효와 1년 이상의 숙성 과정을 거치는 정통 와인 제조방식으로 제조되고 있다. 예산군에서는 100여곳의 농가에서 우수한 품질의 블루베리를 재배하고 있다. 블루베리는 타임지 선정 세계 10대 건강음식으로 꼽히고 있으며 눈건강 뇌건강에 좋은 식품으로 알려져 각광 받고 있다.,추사블루 
458,다래와인은 20℃를 넘지 않는 저온발효를 통해서 숙취의 주범인 메탄올(Methanol)과 아세트 알데이드(Acetaldehyde)를 줄이고 최고의 와인을 빚고 있다. 참다래에 풍부한 유기산(퀴닌산Qunic acid 사과산 (Malic acid) 스트르산(Citric acid)등의 10종이 넘는 유기산) 특유의 상큼함이 고스란히 와인에 녹아 멋진 밸런스를 갖추고 있다. 또한 참다래 특유의 과일향이 어우러진 아로마(Aroma)와 저온발효와 저온숙성을 통해 생성되는 휘발성 에스테르(Ester)가 훌륭한 부케(Booqet)를 형성하여 황금빛 와인에 풍미를 더하고 있다. 다래와인 7004D는 참다래를 충분히 발효하여 알코올 함량이 12%로 단맛이 없으며 유기산이 강하게 느껴지고 뒷맛이 깔끔한 특징이 있다. 드라이와인으로 조금 차게해서 마시면 최적의 맛을 느낄 수 있다.,다래와인 7004D 
459,미인탁주는 국내산 찹쌀과 우리밀누룩으로 빚고 일체의 인공첨가물이 들어가지 않은 프리미엄 막걸리이다. 일반적인 막걸리와 비교해 텁텁하지 않고 깔끔한 뒷맛을 자랑하는 막걸리로 찹쌀이 가진 본연의 맛과 살짝 감도는 달달함 부드러운 목 넘김 향긋한 향이 일품이다. 파주 민통선 내에서 직접 재배한 인삼을 활용하여 찐쌀의 풍미를 잡아 미인탁주만의 독특한 맛을 만들어내고 있다.,미인탁주 
460,고도리 화이트와인 드라이는 농산물우수관리(GAP)인증 거봉포도로 만들어진다. 포도의 당도가 가장 높은 10월 말에 수확하여 별도의 당을 첨가하지 않고 순수 발효한 와인으로 풍부한 산미와 달콤한 과일향을 발산한다. 저온에서 6개월 이상 2차 숙성을 거쳐 주석산을 제거하고 젖산 발효시켜 아로마틱한 부케향이 풍부하고 식빵향 레몬향 풀잎향을 맡을 수 있다.,고도리 화이트와인 드라이 
461,계룡백일주는 400여년을 이어온 한국의 전통 명주로서 조선 인조시대부터 궁중술의 제조비법을 하사받아 연안이씨 가문에서 15대째 대를이어 내려온 명주이다. 백일주 빚기에 평생을 바친 이성우 명인의 장인정신과 정성으로 빚어지며 은은한 향과 진한 감칠맛이 일품으로 옛부터 임금님께 진상하던 궁중술이었다. 16도 계룡백일주를 증류하여 만든 계룡백일주 40도를 얻고 12년을 숙성시켜 깊은 맛을 더했다.,계룡백일주 12년 
462,고도리 화이트와인 스위트는 농산물우수관리(GAP)인증 거봉포도로 만들어진다. 포도의 당도가 가장 높은 10월 말에 수확하여 별도의 당을 첨가하지 않고 순수 발효한 와인으로 풍부한 산미와 달콤한 과일향을 발산한다. 저온에서 6개월 이상 2차 숙성을 거쳐 주석산을 제거하고 젖산 발효시켜 아로마틱한 부케향이 풍부하고 식빵향 레몬향 풀잎향을 맡을 수 있다.,고도리 화이트와인 스위트 
463,뱅꼬레 아이스와인은 짙은 황금빛을 띄며 신선한 아로마 향이 가득한 디저트와인이다. 벌꿀과 과일 향이 발산하는 감미로운 달콤함으로 술을 마시는 것도 잊게 만드는 로맨틱한 와인이다. 아이스와인은 캐나다 독일 등 몇 나라에서만 생산되는 달콤한 디저트 와인으로 동결된 포도로 제조한 농도가 짙은 최고급 와인이다. (주)한국와인의 35년 축적된 기술로 한국형 아이스와인을 선보이고 있다.,뱅꼬레 아이스와인 
464,소백산 생 만찬주는 故노무현 대통령 시절 청와대 만찬주로 약 200회 정도 사용되었다고 한다. 이 때문인지 병의 라벨에는 청와대의 사진을 확인 할 수 있는데 거의 매일같이 청와대에 납품하기도 했다. 국산 쌀로 만들고 국산 누룩 소백산 탄산수로 빚는 막걸리는 적당한 단맛과 신맛이 잘 조화되어 있다.,소백산 생 만찬주 
465,예화는 오랜 전통의 가야곡왕주가 대윤가야곡주조로 새출발을 하며 현대적 감성을 가진 진화하는 전통주 상품개발의 일환으로 선보인 제품이다. 엄선된 우리 쌀과 야생 국화 구기자로 정성껏 빚어낸 약주에 물엿과 사과 엑기스로 풍미를 더한다. 예화는 현대인의 식생활 패턴을 반영 기존 왕주 제품을 아스파탐과 같은 인공감미료를 전혀 사용하지 않고 물엿과 사과 엑기스를 사용하여 타사 제품 대비 낮은 당도와 깔끔한 맛은 물론 숙취까지 적은 고급 약주이다.,예화 
466,예주는 제조사 용두산조은술의 직영농장에서 농약과 화학비료 없이 자연 그대로 길러낸 복분자를 이용하여 제조한다. 독일 늦따기 와인 제조기법으로 만들어낸 과실주로 단맛과 복분자의 깊은맛이 일품인 프리미엄 복분자와인이다.,예주 
467, 미생 막걸리를 생산하고 있는 김포금쌀탁주는 좋은 쌀과 좋은 물로 유명한 김포에서 3대째 가업을 이어 80여년 동안 술을 빚고 있는 양조장이다. 오랜 세월 쌓아온 양조기법으로 누구나 부담 없이 즐길 수 있는 한번 맛 보면 다시 찾게 되는 제품을 생산하고 있다.,미생 막걸리 
468,술아는 두가지 술이 만나 새로운 술이 만들어지는 한국의 전통주인 과하주를 복원한 제품이다. 과하주는 1670년 음식디미방에 등장하며 발효주와 증류주를 혼합하여 제조한 조선시대 대표적인 명주이다. 1956년 안타깝게 그 명맥이 끊겼으나 최근 그 제조법을 복원하여 상품화 되었다. 술아 매화주는 건조매화를 첨가하여 봄 내음이 가득하다.,술아 매화주 
469,경상북도 울진군에서 생산되는 막걸리이며 할아버지에서 손자에 이르기까지 3대에 걸쳐 약 90여년이라는 시간을 통해 그 내력을 이어오고 있는 제품이다. 자연환경생태보존지역인 울진의 깨끗한 자연환경에서 선물 받은 맑고 깨끗한 지하 암반수와 엄선된 원료 그리고 현대적인 위생시설에서 정성을 더하여 만들고 있다. 다른 막걸리 제품과는 달리 막걸리 본연의 맛을 유지하기 위해 알코올 도수 7%를 유지하고 있으며 천연탄산의 청량감과 새콤달콤한 맛의 특징을 가지고 있다.,왕피천을 품은 미소생막걸리 
470,한비 쌀소주는 국내산 쌀 100%와 누룩 그리고 제천의 맑은 물 이외에 향과 맛을 내기 위한 어떠한 인공첨가물도 넣지 않은 순수 전통소주이다. 알코올 도수 40%의 고도주이나 입안에서 전통소주의 향이 오래 남고 목 넘김이 부드러운 제품이다.,한비 쌀소주 
471,정풍초라는 별명을 가지고 있는 말 그대로 중풍을 치료하는 약초로 알려져 있는 천마로 빚은 술이다. 약재로도 훌륭한 천마와 더불어 생강 계피 주정을 더해 정성껏 빚어낸 리큐르주이다.,천마몽 
472,국내산 쌀과 함께 소맥분을 사용하여 진한 맛을 느낄 수 있으며 알싸한 탄산의 맛까지 있어 청주의 대표 막걸리로 자리매김 하고 있는 생 청주 막걸리. 걸쭉하면서도 담백함이 채 가시기 전 넘어오는 막걸리 특유의 알싸한 맛에 기분까지 산뜻하게 만드는 조은술의 대표작이자 첫 출시 작품 소맥분 특유의 목 넘김도 놓치면 안 된다.,생 청주 막걸리 
473,3대째 가업을 이어가며 100% 순 우리 쌀에 낙동강 청정상류 맑은 물로 정성을 더하여\xa0술을 빚는\xa0회곡양조장. 1920년대에 시작하여 현재 2대 김숙자 할머니가 54년째 술을 정성으로 빚고 있으며 3대째인 권용복대표가 비법을 전수받아 전통을 계승하고 있다. 누룩을 띄운 뒤 물을 섞어 효모와 효소를 배양하고 여기에 고두밥을 넣어 1주일 동안 저온에서 완전히 숙성시켜 뒤끝 없는 깔끔한 맛이 특징이다.,회곡 생 동동주 
474,한비 오가피술은 국내산 쌀을 발효하여 증류한 후 10년생 친환경 가시오가피 뿌리와 함께 숙성시킨 전통주이다. 재료로 쓰이는 오가피는 국내에서 유일하게 농산물우수관리인증(GAP)을 받은 것으로 중국산 오가피에 비해 약효성분이 6배나 더 함유하고 있다고 한다. 인공첨가물을 넣지 않고 전통기법으로 제조하여 알코올 도수 35%의 고도주이나 부드럽게 마실 수 있다.,한비 오가피술 
475,소통하는 와이너리 알에프에서는 산뜻한 느낌의 와인인 오미시앙 스페셜을 만날 수 있다. 향긋한 향이 한껏 스쳐 지나간 뒤 올라오는 적당한 산미가 어느 유명 와인을 마시는 듯한 느낌을 받는다. 장수의 국내산 오미자를 착즙 발효 숙성한 오미자와인과 정밀 여과로 깨끗하게 정제한 주정을 브랜딩하여 부드럽고 오미자의 5가지 맛과 특유의 향을 즐길 수 있다. 적당한 산미가 새콤하게 지나간 뒤 은근히 올라오는 12% 도수를 가진 오미시앙 스페셜은 기념일 등 특별한 날 함께 즐기기 좋은 와인이다.,오미시앙 스페셜 
476,조은술 세종에서 전통발효하여 정성껏 빚어낸 세종 쌀막걸리는 쌀과 함께 밀을 사용하여 초정광천수 인근의 지하 암반수로 빚어낸 막걸리. 쌀과 밀의 조합이 적절해 달콤한 향기가 올라오고 6%의 도수를 가진 목넘김이 은근히 묵직한 막걸리로 전통 막걸리에 대한 향수를 가지고 있는 사람이라면 누구나 좋아할 만한 막걸리다.,세종 쌀 막걸리 
477,사과의 표면만 아니라 속까지 빨간색을 띄는 레드러브(Red Love) 품종으로 만들어진 와인으로 일반적인 사과와인이 맑고 꿀물 같은 황금빛 인데 비해 속 빨간 사과를 이용하여 양조를 했기 때문에 장미색을 띄어 로제와인이라 지칭한다. 안토시아닌이 후지 사과보다 15배 이상 높은 건강기능성 사과이며 식감은 시중에 나와 있는 사과보다 더 아삭하고 새콤한 맛이 강하다. 예산 지역 내 빨간 사과 농가와 계약재배를 통해 공급받아 생산하고 있다. 사과 특유의 산미가 강해서 상큼하고 깔끔한 맛이 특징이다.,추사 로제 
478,상그리아는 와인에 과일 과즙 소다수를 섞어 만든 스페인의 가향 와인으로 여름철 더위를 식히기 위해 시원하게 마시는 저알코올 주류이다. 애피소드 상그리아는 사과와인으로 유명한 (주)한국애플리즈에서 선보이는 새로운 제품이다. 특유의 달콤함과 청량감 가득한 탄산 그리고 저알코올로 가볍게 마실 수 있어 많은 분들에게 인기 있는 제품이다. 애피소드 시리즈는 애플 상그리아 호프 3종이 출시되어 있다.,애피소드 상그리아 
479,경북 의성은 사과의 주산지로 유명한 곳이다. (주)한국애플리즈는 대대로 사과 과수원을 운영하여 온 노하우를 바탕으로 꼼꼼한 품질관리와 생산관리를 통해 한국적인 사과와인을 생산하고 있다. 한국애플리즈는 15년의 부단한 연구개발 끝에 오크통 숙성이 아닌 한국의 전통방식대로 황토옹기에서 저온숙성하여 깊고 풍부한 맛과 향을 지닌 사과와인을 선보이고 있다. 애피소드 호프는 사과와인에 맥주의 원료인 호프를 가미하여 만든 제품이다. 애피소드 시리즈는 애플 상그리아 호프 3종이 출시되어 있다.,애피소드 호프 
480,시인의 마을 우리쌀 막걸리는 충북 옥천을 대표하는 막걸리로 알코올 도수 10도로 국내산 쌀로 생산하고 있다. 1930년대 증조부 때부터 옥천에서 술을 빚고 있는 이원양조장은 80여 년에 걸쳐 4대째 술을 빚고 있다. 1963년까지 국내산 쌀로만 빚던 이원양조장의 막걸리를 복원하여 시인의 마을이라는 제품으로 출시 되었다. 물 좋기로 유명한 금강 상류에 위치하고 있는 이원장조장은 현재도 70년이 넘은 우물에서 길어 올린 물로 술을 빚고 있다. 오래된 옛 양조장의 시설과 현대적인 제조공법이 어울러져 지역 양조장의 특색을 가득 담은 막걸리 제품을 생산하고 있다.,시인의 마을 우리쌀 막걸리 
481,예밀와인 레드 드라이는 강원도 영월에 위치한 예밀2리영농조합법인에서 생산하는 한국와인이다. 한국인이 식용으로 애용하는 캠벨얼리 포도품종으로 만든 와인으로 두꺼운 껍질과 단단한 씨 풍부한 과즙으로 한국와인의 맛과 풍미를 담아냈다. 진한 붉은색을 띄고 특유의 산미가 조화를 이루고 있으며 깔끔한 맛이 특징이다. 다른 지역의 캠벨얼리 품종보다 탄닌 성분이 많아 적당한 무게감도 느낄 수 있다. 2019년 대한민국주류대상 한국와인부문에서 대상을 수상하는 등 여러 와인품평회에서 우수한 평가를 받고 있다.,예밀와인 레드 드라이 
482,부산쌀 100%로 인공첨가물이 들어가지 않은 순수한 막걸리 설하담은 부산에 위치한 설하담 브루어리에서 생산하고 있는 알코올 도수 8%의 프리미엄 생막걸리이다. 젊은 여성층을 타켓으로 깔끔하고 달콤한 맛이 특징이며 탄산을 함유하여 스파클링한 느낌이 경쾌하다. 싱그러운 맛을 위해 오랜 시간 침전물을 걸러내고 부산쌀의 100% 사용하고 함유량도 34%로 높인 스페셜한 막걸리이다.,설하담 
483,흑돈주는 제주 바다의 해풍을 맞고 자란 황칠나무를 재료로 3대째 내려오는 전통제조방식으로 45일간의 시간 동안 정성으로 만든 100% 발효주이다. 황칠나무는 두릅나무과에 속하는 상록활엽수로 병을 낫게 하는 나무라는 학명(Dendropanax morbifera)을 갖고 있다. 항암 면역 강화 등 기능성이 있는 작물로 알려져 있다. 흑돈주는 약재의 맛과 향이 드러나고 묵직한 바디감이 특징이다. 단맛이 적고 약간의 산미가 끝 맛을 잘 정리해 준다. 풍부하고 진한 맛의 약주를 원한다면 흑돈주가 제격이다.,흑돈주 
484,편백숲 산소막걸리는 제조사 청산녹수에서 개발한 O2 발효기술과 한국식품연구원이 찾은 토종효모를 사용하여 부드럽고 새콤달콤한 청량한 산소 같은 느낌의 막걸리다.산소막걸리는 O2 발효기술뿐 아니라 효모가 발효할 때 자연적으로 발생하는 바나나 또는 멜론 향기를 막걸리에 담기 위해 업계에서는 매우 이례적으로 15℃ 이하의 극저온에서 장기간 발효하는 비용이 많이 들어가는 방법을 채택하여 맛과 향기 두 가지 측면에서 모두 국내 막걸리 수준을 한 단계 높였다는 평가를 받고 있다.,편백숲 산소막걸리 
